activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
gelu,mlp,replacement,0.8500000000000001,0.0,469170081,1.483992717552185,3.6930298080444337,0.7693,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,222346557,1.4865377840677898,13.40909421005249,0.7425,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,569673429,1.4874439481735229,9.804898770141602,0.722,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,37936800,1.4855824257532755,7.627294590759277,0.7125,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,591275518,1.4902263174057007,7.1919972049713135,0.7878,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,505647668,1.4794027964274088,9.520075773620606,0.7349,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,581163476,1.4846536794026692,10.258231536865235,0.7168,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,143744803,1.4851650183995564,8.899083625793457,0.7413,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,969067665,1.4900076698939007,15.13637508239746,0.6299,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,909070136,1.4893817482630411,8.948241449356079,0.7767,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,38576553,1.4920161107381185,6.047487774658203,0.7513,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,38129629,1.4799796902338664,5.323562113952637,0.7796,1.0,"[128, 128]"
